spmm,1024,1024,1024,0.010000,1,0,5.319,4.045,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,1,6.111,3.521,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,2,6.026,3.570,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,3,4.683,4.594,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,4,5.196,4.141,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,0,4.130,5.210,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,1,3.019,7.128,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,2,2.751,7.822,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,3,3.632,5.925,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,1,4,3.233,6.654,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,0,3.707,5.804,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,1,2.975,7.234,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,2,11.821,1.820,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,3,3.785,5.684,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,4,17.227,1.249,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,0,2.830,7.602,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,1,1.711,12.576,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,2,1.842,11.682,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,3,1.758,12.236,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,2,4,3.126,6.883,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,0,2.975,7.232,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,1,1.806,11.916,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,2,1.776,12.113,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,3,1.801,11.946,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,4,1.763,12.206,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,0,5.135,4.190,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,1,7.387,2.913,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,2,6.096,3.530,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,3,5.911,3.640,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,4,4,8.892,2.420,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,0,3.299,6.523,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,1,2.337,9.209,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,2,2.320,9.273,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,3,2.338,9.203,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,4,2.595,8.290,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,0,10.354,2.078,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,1,9.647,2.230,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,2,10.697,2.011,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,3,11.127,1.934,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,8,4,10.683,2.014,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,0,6.345,3.391,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,1,6.353,3.387,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,2,1.485,14.487,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,3,5.404,3.981,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,4,6.186,3.478,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,0,2.976,7.231,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,1,4.497,4.785,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,2,6.603,3.259,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,3,4.065,5.293,10506,32,64,64,64,1
spmm,1024,1024,1024,0.010000,16,4,6.717,3.203,10506,32,64,64,64,1
