Kernel,Config,cycles,instructions,LLC-load-misses,cycles/FLOP,LLC/GFLOP,cycles/NNZ,LLC/NNZ
Dense GEMM,"1024x1024x1024, T=8",4167805881.0,6777068289.0,1400436.0,1.9407858517952263,652128.8305521011,,
CSR SpMM,"1024x1024x1024, p=0.01, T=8",1895127622.0,2141369643.0,389202.0,,,180385.2676565772,37.045688178183894
