filter,dist,n,target_fpr,neg_share,workload,threads,load_factor,fp_bits,ops,warmup_ops,rep,run,achieved_fpr,bpe,ops_per_s,p50,p95,p99,p50_ns,p95_ns,p99_ns,fail_rate,avg_kicks,stash_hits,avg_probe,cluster_mean,cluster_p99
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0011874,26.8435,7689583.0,78ns,289ns,325ns,78.0,289.0,325.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0011874,26.8435,7801468.0,61ns,285ns,318ns,61.0,285.0,318.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0011874,26.8435,8049985.0,70ns,275ns,310ns,70.0,275.0,310.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,0,0,7.34e-05,26.8435,7750757.0,68ns,285ns,314ns,68.0,285.0,314.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,1,1,7.34e-05,26.8435,7916368.0,80ns,281ns,314ns,80.0,281.0,314.0,0.0,0.0,0.0,,,
cuckoo,uniform,5000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,2,2,7.34e-05,26.8435,7847817.0,66ns,286ns,323ns,66.0,286.0,323.0,0.0,0.0,0.0,,,
quotient,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0003116,41.943,9164501.0,124ns,198ns,314ns,124.0,198.0,314.0,,,,0.0,0.0,0.0
quotient,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0003116,41.943,9201816.0,121ns,195ns,306ns,121.0,195.0,306.0,,,,0.0,0.0,0.0
quotient,uniform,5000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0003116,41.943,9137046.0,121ns,197ns,308ns,121.0,197.0,308.0,,,,0.0,0.0,0.0
bloom,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.1026801,6.71089,13959570.0,36ns,139ns,231ns,36.0,139.0,231.0,,,,,,
bloom,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.1026801,6.71089,13877190.0,36ns,139ns,246ns,36.0,139.0,246.0,,,,,,
bloom,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.1026801,6.71089,13986410.0,36ns,139ns,235ns,36.0,139.0,235.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0037006,26.8435,12642060.0,142ns,201ns,325ns,142.0,201.0,325.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0037006,26.8435,12696580.0,142ns,197ns,317ns,142.0,197.0,317.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0037006,26.8435,12711840.0,143ns,195ns,320ns,143.0,195.0,320.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0002385,26.8435,12697070.0,142ns,204ns,321ns,142.0,204.0,321.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0002385,26.8435,12663900.0,142ns,204ns,323ns,142.0,204.0,323.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0002385,26.8435,12646670.0,142ns,199ns,316ns,142.0,199.0,316.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.51e-05,26.8435,12639990.0,142ns,205ns,324ns,142.0,205.0,324.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.51e-05,26.8435,12652400.0,142ns,203ns,325ns,142.0,203.0,325.0,,,,,,
xor,uniform,10000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.51e-05,26.8435,12292180.0,142ns,264ns,318ns,142.0,264.0,318.0,,,,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0185641,26.8435,7972949.0,150ns,215ns,311ns,150.0,215.0,311.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0185641,26.8435,7974345.0,150ns,211ns,309ns,150.0,211.0,309.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0185641,26.8435,7999633.0,153ns,209ns,311ns,153.0,209.0,311.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0011611,26.8435,7938227.0,150ns,193ns,301ns,150.0,193.0,301.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0011611,26.8435,7982420.0,153ns,214ns,308ns,153.0,214.0,308.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0011611,26.8435,8023680.0,150ns,204ns,301ns,150.0,204.0,301.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,7.53e-05,26.8435,7992458.0,150ns,211ns,313ns,150.0,211.0,313.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,7.53e-05,26.8435,7960407.0,150ns,205ns,297ns,150.0,205.0,297.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,7.53e-05,26.8435,7970599.0,151ns,203ns,307ns,151.0,203.0,307.0,0.0,0.0,0.0,,,
quotient,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0095476,41.943,8482216.0,147ns,249ns,345ns,147.0,249.0,345.0,,,,0.0,0.0,0.0
quotient,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0095476,41.943,8565656.0,146ns,239ns,341ns,146.0,239.0,341.0,,,,0.0,0.0,0.0
quotient,uniform,10000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0095476,41.943,8548176.0,147ns,240ns,338ns,147.0,240.0,338.0,,,,0.0,0.0,0.0
bloom,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0458638,13.4218,10415280.0,50ns,160ns,264ns,50.0,160.0,264.0,,,,,,
bloom,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0458638,13.4218,10400520.0,55ns,163ns,278ns,55.0,163.0,278.0,,,,,,
bloom,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0458638,13.4218,10490860.0,48ns,158ns,264ns,48.0,158.0,264.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0037006,26.8435,12583390.0,142ns,210ns,322ns,142.0,210.0,322.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0037006,26.8435,12535070.0,142ns,221ns,322ns,142.0,221.0,322.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0037006,26.8435,12559750.0,142ns,206ns,322ns,142.0,206.0,322.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0002385,26.8435,12588780.0,142ns,207ns,307ns,142.0,207.0,307.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0002385,26.8435,12650530.0,142ns,209ns,321ns,142.0,209.0,321.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0002385,26.8435,12606190.0,142ns,203ns,305ns,142.0,203.0,305.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.51e-05,26.8435,11252530.0,143ns,287ns,351ns,143.0,287.0,351.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.51e-05,26.8435,12650020.0,142ns,207ns,317ns,142.0,207.0,317.0,,,,,,
xor,uniform,10000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.51e-05,26.8435,12618790.0,142ns,216ns,332ns,142.0,216.0,332.0,,,,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0185641,26.8435,7940578.0,152ns,223ns,308ns,152.0,223.0,308.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0185641,26.8435,7914343.0,150ns,219ns,316ns,150.0,219.0,316.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0185641,26.8435,7938713.0,150ns,208ns,302ns,150.0,208.0,302.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0011611,26.8435,7985695.0,150ns,206ns,314ns,150.0,206.0,314.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0011611,26.8435,7951323.0,150ns,218ns,313ns,150.0,218.0,313.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0011611,26.8435,7859542.0,150ns,213ns,311ns,150.0,213.0,311.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,7.53e-05,26.8435,7903718.0,150ns,213ns,315ns,150.0,213.0,315.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,7.53e-05,26.8435,7954099.0,150ns,215ns,301ns,150.0,215.0,301.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,7.53e-05,26.8435,7928940.0,150ns,219ns,308ns,150.0,219.0,308.0,0.0,0.0,0.0,,,
quotient,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0023584,41.943,8548911.0,146ns,233ns,344ns,146.0,233.0,344.0,,,,0.0,0.0,0.0
quotient,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0023584,41.943,8505659.0,146ns,233ns,329ns,146.0,233.0,329.0,,,,0.0,0.0,0.0
quotient,uniform,10000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0023584,41.943,8456295.0,147ns,244ns,339ns,147.0,244.0,339.0,,,,0.0,0.0,0.0
bloom,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0225718,26.8435,8868849.0,143ns,176ns,307ns,143.0,176.0,307.0,,,,,,
bloom,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0225718,26.8435,8876905.0,143ns,173ns,292ns,143.0,173.0,292.0,,,,,,
bloom,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0225718,26.8435,8862261.0,143ns,174ns,303ns,143.0,174.0,303.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0037006,26.8435,12532590.0,142ns,219ns,329ns,142.0,219.0,329.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0037006,26.8435,12589540.0,142ns,207ns,310ns,142.0,207.0,310.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0037006,26.8435,12571750.0,142ns,209ns,318ns,142.0,209.0,318.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0002385,26.8435,12594760.0,142ns,227ns,318ns,142.0,227.0,318.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0002385,26.8435,12591870.0,142ns,219ns,330ns,142.0,219.0,330.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0002385,26.8435,12541200.0,142ns,209ns,325ns,142.0,209.0,325.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.51e-05,26.8435,12552940.0,142ns,215ns,319ns,142.0,215.0,319.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.51e-05,26.8435,12598530.0,142ns,214ns,323ns,142.0,214.0,323.0,,,,,,
xor,uniform,10000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.51e-05,26.8435,12123170.0,142ns,272ns,329ns,142.0,272.0,329.0,,,,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.0185641,26.8435,7904680.0,150ns,200ns,303ns,150.0,200.0,303.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.0185641,26.8435,7922657.0,150ns,202ns,320ns,150.0,202.0,320.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.0185641,26.8435,7939537.0,150ns,226ns,307ns,150.0,226.0,307.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0011611,26.8435,7654376.0,151ns,277ns,323ns,151.0,277.0,323.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0011611,26.8435,7894408.0,151ns,219ns,304ns,151.0,219.0,304.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0011611,26.8435,7944420.0,150ns,224ns,316ns,150.0,224.0,316.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,0,0,7.53e-05,26.8435,7944750.0,152ns,208ns,309ns,152.0,208.0,309.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,1,1,7.53e-05,26.8435,7924530.0,150ns,206ns,313ns,150.0,206.0,313.0,0.0,0.0,0.0,,,
cuckoo,uniform,10000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,2,2,7.53e-05,26.8435,7999738.0,150ns,216ns,305ns,150.0,216.0,305.0,0.0,0.0,0.0,,,
quotient,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.0002885,41.943,8465589.0,146ns,243ns,342ns,146.0,243.0,342.0,,,,0.0,0.0,0.0
quotient,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.0002885,41.943,8514706.0,147ns,238ns,343ns,147.0,238.0,343.0,,,,0.0,0.0,0.0
quotient,uniform,10000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.0002885,41.943,8401364.0,147ns,246ns,346ns,147.0,246.0,346.0,,,,0.0,0.0,0.0
bloom,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.076799,8.38861,23064260.0,26ns,40ns,54ns,26.0,40.0,54.0,,,,,,
bloom,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.076799,8.38861,20517840.0,28ns,42ns,56ns,28.0,42.0,56.0,,,,,,
bloom,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.076799,8.38861,24008040.0,26ns,40ns,52ns,26.0,40.0,52.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003361,33.5544,18017070.0,31ns,37ns,221ns,31.0,37.0,221.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003361,33.5544,17722840.0,31ns,37ns,222ns,31.0,37.0,222.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003361,33.5544,17110560.0,32ns,38ns,222ns,32.0,38.0,222.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.00019,33.5544,16941010.0,31ns,38ns,260ns,31.0,38.0,260.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.00019,33.5544,16837390.0,31ns,39ns,285ns,31.0,39.0,285.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.00019,33.5544,17370440.0,32ns,38ns,219ns,32.0,38.0,219.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.4e-05,33.5544,17414280.0,31ns,38ns,221ns,31.0,38.0,221.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.4e-05,33.5544,17462300.0,31ns,38ns,297ns,31.0,38.0,297.0,,,,,,
xor,sequential,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.4e-05,33.5544,18594620.0,31ns,37ns,219ns,31.0,37.0,219.0,,,,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.014904,33.5544,11617130.0,43ns,67ns,244ns,43.0,67.0,244.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.014904,33.5544,12364090.0,40ns,55ns,235ns,40.0,55.0,235.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.014904,33.5544,11901690.0,40ns,55ns,238ns,40.0,55.0,238.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.00091,33.5544,12429290.0,40ns,56ns,280ns,40.0,56.0,280.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.00091,33.5544,11356940.0,40ns,58ns,299ns,40.0,58.0,299.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.00091,33.5544,12282130.0,40ns,56ns,294ns,40.0,56.0,294.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,5.5e-05,33.5544,11800010.0,40ns,56ns,283ns,40.0,56.0,283.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,5.5e-05,33.5544,12180220.0,40ns,57ns,285ns,40.0,57.0,285.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,5.5e-05,33.5544,11970080.0,41ns,58ns,276ns,41.0,58.0,276.0,0.0,0.0,0.0,,,
quotient,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.007792,52.4288,9907698.0,43ns,237ns,321ns,43.0,237.0,321.0,,,,0.0,0.0,0.0
quotient,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.007792,52.4288,10857270.0,40ns,210ns,302ns,40.0,210.0,302.0,,,,0.0,0.0,0.0
quotient,sequential,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.007792,52.4288,9913644.0,41ns,216ns,315ns,41.0,216.0,315.0,,,,0.0,0.0,0.0
bloom,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.035322,16.7772,19834090.0,29ns,44ns,57ns,29.0,44.0,57.0,,,,,,
bloom,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.035322,16.7772,18584840.0,32ns,47ns,62ns,32.0,47.0,62.0,,,,,,
bloom,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.035322,16.7772,19886420.0,31ns,46ns,58ns,31.0,46.0,58.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003361,33.5544,17024870.0,32ns,38ns,221ns,32.0,38.0,221.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003361,33.5544,17316710.0,31ns,38ns,232ns,31.0,38.0,232.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003361,33.5544,16570910.0,32ns,40ns,298ns,32.0,40.0,298.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.00019,33.5544,16465060.0,32ns,187ns,298ns,32.0,187.0,298.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.00019,33.5544,17462740.0,31ns,38ns,226ns,31.0,38.0,226.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.00019,33.5544,17451400.0,31ns,38ns,278ns,31.0,38.0,278.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.4e-05,33.5544,16494410.0,32ns,89ns,268ns,32.0,89.0,268.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.4e-05,33.5544,16857540.0,32ns,38ns,290ns,32.0,38.0,290.0,,,,,,
xor,sequential,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.4e-05,33.5544,18334320.0,31ns,39ns,220ns,31.0,39.0,220.0,,,,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.014904,33.5544,11190780.0,41ns,58ns,253ns,41.0,58.0,253.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.014904,33.5544,10924110.0,40ns,58ns,269ns,40.0,58.0,269.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.014904,33.5544,11736160.0,41ns,58ns,276ns,41.0,58.0,276.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.00091,33.5544,12312460.0,40ns,55ns,277ns,40.0,55.0,277.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.00091,33.5544,12178860.0,40ns,57ns,288ns,40.0,57.0,288.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.00091,33.5544,11684660.0,40ns,56ns,270ns,40.0,56.0,270.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,5.5e-05,33.5544,11959000.0,40ns,55ns,290ns,40.0,55.0,290.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,5.5e-05,33.5544,11224790.0,41ns,58ns,290ns,41.0,58.0,290.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,5.5e-05,33.5544,11549420.0,41ns,62ns,289ns,41.0,62.0,289.0,0.0,0.0,0.0,,,
quotient,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.001903,52.4288,10390150.0,42ns,207ns,318ns,42.0,207.0,318.0,,,,0.0,0.0,0.0
quotient,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.001903,52.4288,10097910.0,42ns,197ns,318ns,42.0,197.0,318.0,,,,0.0,0.0,0.0
quotient,sequential,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.001903,52.4288,9909778.0,42ns,208ns,317ns,42.0,208.0,317.0,,,,0.0,0.0,0.0
bloom,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.037496,16.7772,15569200.0,32ns,46ns,60ns,32.0,46.0,60.0,,,,,,
bloom,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.037496,16.7772,15617190.0,31ns,46ns,58ns,31.0,46.0,58.0,,,,,,
bloom,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.037496,16.7772,16459760.0,31ns,46ns,58ns,31.0,46.0,58.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003361,33.5544,17067500.0,32ns,38ns,292ns,32.0,38.0,292.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003361,33.5544,16689110.0,32ns,38ns,273ns,32.0,38.0,273.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003361,33.5544,16077790.0,32ns,38ns,240ns,32.0,38.0,240.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.00019,33.5544,17809340.0,31ns,40ns,255ns,31.0,40.0,255.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.00019,33.5544,17116790.0,32ns,38ns,264ns,32.0,38.0,264.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.00019,33.5544,18293620.0,31ns,38ns,277ns,31.0,38.0,277.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.4e-05,33.5544,16108180.0,32ns,38ns,287ns,32.0,38.0,287.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.4e-05,33.5544,20171460.0,30ns,39ns,241ns,30.0,39.0,241.0,,,,,,
xor,sequential,1000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.4e-05,33.5544,16718900.0,32ns,39ns,288ns,32.0,39.0,288.0,,,,,,
cuckoo,sequential,1000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.014904,33.5544,10722770.0,41ns,59ns,278ns,41.0,59.0,278.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.014904,33.5544,11035610.0,40ns,57ns,281ns,40.0,57.0,281.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.001,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.014904,33.5544,10937890.0,40ns,60ns,282ns,40.0,60.0,282.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.00091,33.5544,10534380.0,41ns,60ns,298ns,41.0,60.0,298.0,0.0,0.0,0.0,,,
cuckoo,sequential,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.00091,33.5544,11440660.0,42ns,60ns,256ns,42.0,60.0,256.0,0.0,0.0,0.0,,,
