bs_label,iotype,iops,bw_MBps,lat_ms
4k,read,1639.0,6.404296875,0.59794
16k,read,1265.0,19.8,0.77803
32k,read,1177.0,36.8,0.83805
64k,read,864.0,54.0,1.1438199999999998
128k,read,416.0,77.8,4.76941
